,tweet_text,directed_at,sentiment,company,target,clean_tweet,hashtags,mentions
29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,Google,positive,they were right the 3 app on is sweeeeet nice job by the team there,#android #sxsw,@gowalla
30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,Apple,positive,very smart from ipad app for http t co a3xvwc6 may leave my vuvuzela at home now,#hollergram #sxsw,@madebymany
31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,Apple,positive,you must have this app for your ipad if you are going to http itunes apple com us app holler gram id420666439 mt 8,#sxsw #hollergram,
32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",Unknown,No emotion toward brand or product,Unknown,neutral,attn all frineds register for and see cobra iradar for android link,#sxsw #gdgtlive,@mention
33,Anyone at  #sxsw want to sell their old iPad?,Unknown,No emotion toward brand or product,Unknown,neutral,anyone at want to sell their old ipad,#sxsw,
34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,Unknown,No emotion toward brand or product,Unknown,neutral,anyone at who bought the new ipad want to sell their older ipad to me,#sxsw,
35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",Unknown,No emotion toward brand or product,Unknown,neutral,at oooh rt google to launch major new social network called circles possibly today link,#sxsw,@mention
36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,Apple,positive,the best rt ha first in line for at quot pop up quot apple store was an event planner,#ipad2 #sxsw #eventprofs #pcma #engage365,@mention
37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,Unknown,No emotion toward brand or product,Unknown,neutral,spin play a new concept in music discovery for your ipad from amp spin com link,#itunes #sxsw,@mention @mention
39,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,vatornews google and apple force print media to evolve link,#sxsw,
40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,Apple,positive,great weather to greet you for still need a sweater at night apple putting up quot flash store quot downtown to sell ipad2,#sxsw,@mention
41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",Unknown,No emotion toward brand or product,Unknown,neutral,hootsuite hootsuite mobile for updates for iphone blackberry amp android whether you re getting friend link,#sxsw,
42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,Unknown,No emotion toward brand or product,Unknown,neutral,hey how long do you think it takes us to make an iphone case answer using and we ll make you one,#sxsw #zazzlesxsw,@mention
43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},Unknown,No emotion toward brand or product,Unknown,neutral,mashable the ipad 2 takes over sxsw video link,#ipad #sxsw #gadgets,
44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},Unknown,No emotion toward brand or product,Unknown,neutral,for i pad rt new for now in the app store includes uberguide to sponsored by link,#ubersocial #iphone #sxsw,@mention
45,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive emotion,Apple,positive,s opens to instant access i should have waited to get one link,#ipad2 #smartcover #apple #sxsw,
46,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},Unknown,Positive emotion,Unknown,positive,hand held hobo drafthouse launches hobo with a shotgun iphone app link,#sxsw,
47,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,Apple,positive,hooray rt apple is opening a pop up store in austin for link,#sxsw,@mention @mention
48,Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,Unknown,No emotion toward brand or product,Unknown,neutral,orly google set to launch new social network today at,#circles #sxsw,@mention
49,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,Positive emotion,Apple,positive,wooooo apple store downtown austin open til midnight,#sxsw,@mention
50,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,khoi vinh says conde nast's headlong rush into ipad publishing was a quot fundamental misunderstanding quot of the platform,#sxsw,@mention
51,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",Unknown,No emotion toward brand or product,Unknown,neutral,link lt help me forward this doc to all anonymous accounts techies amp ppl who can help us jam,#libya #sxsw,@mention
52,÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,Unknown,No emotion toward brand or product,Unknown,neutral,what link,#edchat #musedchat #sxsw #sxswi #classical #newtwitter,
53,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",Unknown,No emotion toward brand or product,Unknown,neutral,on the location based fast fun and future link via,#sxsw,@mention @mention @mention
54,ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,Unknown,No emotion toward brand or product,Unknown,neutral,will connect the digital amp physical worlds through mobile link,#google #sxsw,@mention @mention @mention
56,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",Unknown,No emotion toward brand or product,Unknown,neutral,link rt quot google before you tweet quot is the new quot think before you speak quot mark belinsky panel at,#911tweets #sxsw,@mention
57,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,Apple,positive,link rt 1st stop on the amp hunt austin java get in the spy game 4 a chance 2 win an ipad,#sxsw #chaos,@mention @mention
58,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},Unknown,No emotion toward brand or product,Unknown,neutral,link rt those at check out the holler gram ipad app from link,#sxsw,@mention @mention
59,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},Unknown,No emotion toward brand or product,Unknown,neutral,amp having fun at pic link,#google #sxsw,@mention @mention @mention
60,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,Unknown,No emotion toward brand or product,Unknown,neutral,quot via link guy kawasaki talks enchanted at sxsw he knows his stuff quot,#books #internet #apple #sxsw,@mention
61,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",Unknown,No emotion toward brand or product,Unknown,neutral,link spec for recipes on the web now in google search link,#futuremf #sxsw,@mention
63,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,Apple,neutral,rt i think apple's quot pop up store quot in austin would be a lot more interesting if it actually you know popped up,#smile #sxsw,@mention
64,Again? RT @mention Line at the Apple store is insane.. #sxsw,Unknown,Negative emotion,Unknown,negative,again rt line at the apple store is insane,#sxsw,@mention
65,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,agree rt wait fiona apple is in town somebody kidnap her and put her in a recording studio until she records a new album,#sxsw,@mention
66,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,Unknown,No emotion toward brand or product,Unknown,neutral,at wanna buy you a drink 7pm at fado on 4th link join us,#sxsw,@mention @mention
67,attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion,Apple,negative,attending ipad design headaches link,#sxsw,@mention
68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",Unknown,Negative emotion,Unknown,negative,boooo rt flipboard is developing an iphone version not android says,#sxsw,@mention @mention
69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,Apple,positive,check out amp in line for their ipad 2 in austin power to them link,#sxswi #sxsw,@mention @mention @mention
70,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,check rt giving added value to location based services needs to battle check in fatigue,#google #pnid #sxsw,@mention
71,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,Unknown,No emotion toward brand or product,Unknown,neutral,chilcott stand talking with blogger staff too late to win competition for best tweet mentioning so no t shirt,#sxsw,@mention @mention
72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,Google,positive,do it rt come party w google tonight at link bands food art ice cream nifty interactive maps,#sxsw,@mention
73,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},Unknown,No emotion toward brand or product,Unknown,neutral,gowalla's promises to launch foursquare check in groupon rewards type service at finger's crossed link,#sxsw,@mention
74,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",Unknown,No emotion toward brand or product,Unknown,neutral,ha ha rt news yahoo com is loosing search traffic to new site google com doubt it will last tho w that weird name,#sxsw,@mention
75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,Google,positive,holla rt at google party best ever get your butt over here,#sxsw,@mention
76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,Apple,positive,i love my iphone case from but i can't get my phone out of it,#sxsw #fail,@mention
77,I worship @mention {link} #SXSW,Unknown,No emotion toward brand or product,Unknown,neutral,i worship link,#sxsw,@mention
78,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",Unknown,No emotion toward brand or product,Unknown,neutral,ipad2 rt droid amp mac here rt my confession using laptop ipad amp blackberry to follow,#agnerd #sxsw,@mention @mention
79,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",Unknown,No emotion toward brand or product,Unknown,neutral,launching rt denies social network called circles will debut today despite report link,#sxsw,@mention @mention @mention
80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,Apple,positive,new post iphone app makes it easy to connect on all social networks with people you meet link,#sxsw,@mention
81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,Apple,positive,nice that iphone app is behaving today crashes yesterday were ridiculous,#sxsw,@mention
82,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,Unknown,No emotion toward brand or product,Unknown,neutral,nice rt apple opening popup store for ipad launch in downtown austin during link via,#sxsw,@mention @mention
83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,Apple,positive,nice rt hey apple fans get a peek at the space that's slated to be a pop up apple store tomorrow link,#sxsw,@mention
84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,Google,positive,one thing is doing so great is get a great down to earth face to google as a company you can only love her,#sxsw #sxwsi,@mention
85,Stay tune @mention showcase #H4ckers {link} #SXSW,Unknown,No emotion toward brand or product,Unknown,neutral,stay tune showcase link,#h4ckers #sxsw,@mention
86,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},Unknown,No emotion toward brand or product,Unknown,neutral,thank you for the preso here's their deck link,#touchingstories #sxsw,@mention @mention
87,Thank you @mention for an awesome #sxsw party! {link},Unknown,No emotion toward brand or product,Unknown,neutral,thank you for an awesome party link,#sxsw,@mention
88,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",Unknown,No emotion toward brand or product,Unknown,neutral,thanks rt if you're trying to contact friends or family in has created a person finder link,#japan #sxsw,@mention @mention
89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,Apple,positive,thanks to for her mention of our new ipad apps being showcased at the conf link,#speech #sxsw #sxswh #sxsh,@mention
91,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,Unknown,No emotion toward brand or product,Unknown,neutral,thanks to for publishing the news of our new medical apps in the conf blog link,#sxswi #sxsw #sxswh #mhealth,@mention
92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion,Apple,negative,what does not provide iphone chargers i've changed my mind about going next year,#sxsw,@mention
93,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,Unknown,No emotion toward brand or product,Unknown,neutral,wonder if amp will be in the apple flashmob tcrn ch fcs45j,#sxsw #ipad2,@mention @mention
94,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,Unknown,No emotion toward brand or product,Unknown,neutral,wonder if is putting tips from the api,#sxsw #suxsw,@mention @mention
95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion,Apple,positive,xmas rt shiny new apps a new book pop up ipad 2 stores is christmas for nerds,#sxsw,@mention @mention @mention @mention @garyvee
96,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion,Apple,positive,yai rt new for now in the app store includes uberguide to sponsored by cont link,#ubersocial #iphone #sxsw,@mention
97,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",Unknown,No emotion toward brand or product,Unknown,neutral,yes rt hey i've got another gem for you gt free sxsw link,#sxsw,@mention @mention @mention
98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,Google,positive,fast fun amp future of google presenting at on search local and mobile,#sxsw,@mention
99,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,Unknown,No emotion toward brand or product,Unknown,neutral,gsd amp m amp google's industry party tonight see u there link,#sxsw #austin #welivehere #gsdm,@mention
100,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",Unknown,No emotion toward brand or product,Unknown,neutral,new buzz quot google to launch major new social network called circles possibly today link rt quot,#sxsw,@mention @mention
101,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion,Apple,positive,headline quot 2 is the must have gadget at quot hmm i could have seen that one coming link,#ipad #sxsw #gadget,
103,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,Unknown,Negative emotion,Unknown,negative,know that quot dataviz quot translates to quot satanic quot on an iphone i'm just sayin,#sxsw,
104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,Google,positive,quot google launched checkins a month ago quot check ins are ok but check outs are the future,#sxsw #bizzy,@mention
105,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",Unknown,No emotion toward brand or product,Unknown,neutral,quot google launched checkins a month ago quot check ins are ok but check outs are the future via,#sxsw #bizzy,@mention @mention
107,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",Unknown,No emotion toward brand or product,Unknown,neutral,attending quot left brain search google right brain search x quot talking about the future of search engines at,#bettersearch #sxsw,
108,#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},Unknown,No emotion toward brand or product,Unknown,neutral,opens quot mobile park quot amp content incubator at link constructs quot pop up quot store link,#hp #sxsw #apple,
109,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,Apple,positive,kawasaki quot not c s lewis level reasoning but apple's continued existence is evidence for the existence of god quot,#bawling #sxsw,
110,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,Unknown,No emotion toward brand or product,Unknown,neutral,kawasaki quot pagemaker saved apple quot oh those were the days,#sxsw #jwtatl #enchantment,
111,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,Apple,positive,kawasaki quot pagemaker saved apple quot oh those were the days via,#sxsw #jwtatl #enchantment,@mention
112,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},Unknown,Positive emotion,Unknown,positive,spark for is up for a award at read about it here link,#android #teamandroid #sxsw,
113,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",Unknown,No emotion toward brand or product,Unknown,neutral,unboxing apple store sxsw link,#apple #sxsw,@mention
114,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,Apple,positive,and ipad 2's are great but thoughts are w japan and apac regions dealing w earthquake amp tsunami trauma,#sxsw #apple #sxswi,
115,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",Unknown,No emotion toward brand or product,Unknown,neutral,at schools the experts sxsw cnet blogs link,#sxsw #apple #marketing,
118,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,Apple,positive,temporary store is def not a tent it's a powerhouse gym link,#apple #sxsw,
119,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,Apple,positive,temporary store on 6th and congress for along with 10 000 very happy hipsters,#apple #sxsw,
120,ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion,Apple,positive,wins link opening a temporary store in downtown austin to support launch that is good,#apple #sxsw #ipad2,@mention
121,#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,Positive emotion,Apple,positive,and are trending today have fun at all you nerdy nerds,#ipad #austin #sxsw,
122,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",Unknown,No emotion toward brand or product,Unknown,neutral,headed to for check out my map for newbies link enjoy,#austin #sxsw,@mention @mention @mention @mention
123,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,Unknown,No emotion toward brand or product,Unknown,neutral,funny how is trending but not only a matter of minutes at this point at least according to twitter for iphone,#austin #sxsw,
124,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive emotion,Apple,positive,christian devs i want to talk to u at or after maybe we can wk together on cool app me,#ipad #iphone #sxsw,@mention
125,#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,Unknown,No emotion toward brand or product,Unknown,neutral,remember to ultimately be aware of the audience your app is targeted towards an unexpected experience can be good,#sxsw #ux #ipad #uxdes,
126,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion,Apple,positive,the apple has taken and by storm link excited to a be a part,#ipad2 #sxsw #austin #mobile,@mention
127,I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive emotion,Apple,positive,i can haz ifrom gr8 link,#ipad2 #sxsw,
128,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive emotion,Apple,positive,stacks of s waiting to be bought at i got mine no hassle at all apple handled this perfectly link,#ipad2 #sxsw,
129,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",Unknown,No emotion toward brand or product,Unknown,neutral,s future and the elusive power of here link via,#google #mobile #eurorscg #sxsw #sxswi,@mention
130,"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",Unknown,No emotion toward brand or product,Unknown,neutral,for those or at here's link free to download and meet nearby peps,#notatsxsw #sxsw,
133,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",Unknown,No emotion toward brand or product,Unknown,neutral,follow lead link,#samsung #sony #apple #hp #austin #atx #sxsw,@mention
